year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1824,PA,PA,28,True,Henry Clay,Democratic-Republican,True,1703,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,PA,PA,28,True,John Quincy Adams,Democratic-Republican,True,5424,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,PA,PA,28,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,PA,PA,28,True,William Crawford,Democratic-Republican,True,4189,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,RI,RI,4,True,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,RI,RI,4,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,RI,RI,4,True,John Quincy Adams,Democratic-Republican,True,2144,4,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,RI,RI,4,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,RI,RI,4,True,William Crawford,Democratic-Republican,True,200,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,SC,SC,11,False,Andrew Jackson,Democratic-Republican,True,,11,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,SC,SC,11,False,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,SC,SC,11,False,John Quincy Adams,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,SC,SC,11,False,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,SC,SC,11,False,William Crawford,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,TN,TN,11,True,Andrew Jackson,Democratic-Republican,True,19285,11,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,TN,TN,11,True,Henry Clay,Democratic-Republican,True,890,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,TN,TN,11,True,John Quincy Adams,Democratic-Republican,True,224,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,TN,TN,11,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,TN,TN,11,True,William Crawford,Democratic-Republican,True,316,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VA,VA,24,True,Andrew Jackson,Democratic-Republican,True,2975,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VA,VA,24,True,Henry Clay,Democratic-Republican,True,419,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VA,VA,24,True,John Quincy Adams,Democratic-Republican,True,3514,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VA,VA,24,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VA,VA,24,True,William Crawford,Democratic-Republican,True,8558,24,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VT,VT,7,False,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VT,VT,7,False,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VT,VT,7,False,John Quincy Adams,Democratic-Republican,True,,7,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VT,VT,7,False,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,VT,VT,7,False,William Crawford,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
