rank1,rank2,rank3,count
Tom Anderson,,Robin Wonsley Worlobah,1
UWI,Guy T Gaskin,Cam Gordon,1
Robin Wonsley Worlobah,Guy T Gaskin,,1
Guy T Gaskin,Guy T Gaskin,Cam Gordon,1
,,Robin Wonsley Worlobah,1
Guy T Gaskin,UWI,Tom Anderson,1
Guy T Gaskin,UWI,,1
overvote,Yusra Arab,Tom Anderson,1
UWI,Tom Anderson,Tom Anderson,1
,Robin Wonsley Worlobah,,1
Tom Anderson,Guy T Gaskin,Guy T Gaskin,1
Robin Wonsley Worlobah,Tom Anderson,UWI,1
,Tom Anderson,Tom Anderson,1
UWI,Robin Wonsley Worlobah,Yusra Arab,1
Yusra Arab,Tom Anderson,overvote,1
Guy T Gaskin,Tom Anderson,Guy T Gaskin,1
Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,1
Cam Gordon,UWI,,1
Robin Wonsley Worlobah,,Robin Wonsley Worlobah,1
Robin Wonsley Worlobah,UWI,Cam Gordon,1
Cam Gordon,,Robin Wonsley Worlobah,1
Robin Wonsley Worlobah,overvote,Cam Gordon,1
Robin Wonsley Worlobah,overvote,,1
overvote,Robin Wonsley Worlobah,Cam Gordon,1
Tom Anderson,UWI,,1
overvote,Yusra Arab,Cam Gordon,1
,Tom Anderson,Robin Wonsley Worlobah,1
Yusra Arab,Robin Wonsley Worlobah,UWI,1
Cam Gordon,,Tom Anderson,1
Tom Anderson,Tom Anderson,Guy T Gaskin,1
